unique_instrument_id,windcode,windcode_simp
CZCE|F|SF|2611,SF2611.CZC,SF611.CZC
CZCE|F|SH|2501,SH2501.CZC,SH501.CZC
CZCE|F|SH|2502,SH2502.CZC,SH502.CZC
CZCE|F|SH|2503,SH2503.CZC,SH503.CZC
CZCE|F|SH|2504,SH2504.CZC,SH504.CZC
CZCE|F|SH|2505,SH2505.CZC,SH505.CZC
CZCE|F|SH|2506,SH2506.CZC,SH506.CZC
CZCE|F|SH|2507,SH2507.CZC,SH507.CZC
CZCE|F|SH|2508,SH2508.CZC,SH508.CZC
CZCE|F|SH|2509,SH2509.CZC,SH509.CZC
CZCE|F|SH|2510,SH2510.CZC,SH510.CZC
CZCE|F|SH|2511,SH2511.CZC,SH511.CZC
CZCE|F|SH|2512,SH2512.CZC,SH512.CZC
CZCE|F|SH|2601,SH2601.CZC,SH601.CZC
CZCE|F|SH|2602,SH2602.CZC,SH602.CZC
CZCE|F|SH|2603,SH2603.CZC,SH603.CZC
CZCE|F|SH|2604,SH2604.CZC,SH604.CZC
CZCE|F|SH|2605,SH2605.CZC,SH605.CZC
CZCE|F|SH|2606,SH2606.CZC,SH606.CZC
CZCE|F|SH|2607,SH2607.CZC,SH607.CZC
CZCE|F|SH|2608,SH2608.CZC,SH608.CZC
CZCE|F|SH|2609,SH2609.CZC,SH609.CZC
CZCE|F|SH|2610,SH2610.CZC,SH610.CZC
CZCE|F|SH|2611,SH2611.CZC,SH611.CZC
CZCE|F|SM|2501,SM2501.CZC,SM501.CZC
CZCE|F|SM|2502,SM2502.CZC,SM502.CZC
CZCE|F|SM|2503,SM2503.CZC,SM503.CZC
CZCE|F|SM|2504,SM2504.CZC,SM504.CZC
CZCE|F|SM|2505,SM2505.CZC,SM505.CZC
CZCE|F|SM|2506,SM2506.CZC,SM506.CZC
CZCE|F|SM|2507,SM2507.CZC,SM507.CZC
CZCE|F|SM|2508,SM2508.CZC,SM508.CZC
CZCE|F|SM|2509,SM2509.CZC,SM509.CZC
CZCE|F|SM|2510,SM2510.CZC,SM510.CZC
CZCE|F|SM|2511,SM2511.CZC,SM511.CZC
CZCE|F|SM|2512,SM2512.CZC,SM512.CZC
